date,middlePB,equalWeightAveragePB,close,quantileInAllHistoryMiddlePB,quantileInRecent10YearsMiddlePB,quantileInAllHistoryEqualWeightAveragePB,quantileInRecent10YearsEqualWeightAveragePB
2005-06-09,1.73,2.16,1131.05,0.30693,0.30693,0.30693,0.30693
2005-06-10,1.7,2.12,1108.29,0.29412,0.29412,0.29412,0.29412
2005-06-13,1.71,2.13,1106.29,0.31068,0.31068,0.30097,0.30097
2005-06-14,1.68,2.09,1093.46,0.26923,0.26923,0.26923,0.26923
2005-06-15,1.63,2.03,1072.84,0.2,0.2,0.09524,0.09524
2005-06-16,1.64,2.06,1086.01,0.23585,0.23585,0.22642,0.22642
2005-06-17,1.63,2.04,1085.61,0.20561,0.20561,0.17757,0.17757
2005-06-20,1.67,2.1,1115.62,0.28704,0.28704,0.2963,0.2963
2005-06-21,1.65,2.07,1101.49,0.25688,0.25688,0.23853,0.23853
2005-06-22,1.66,2.09,1102.03,0.27273,0.27273,0.3,0.3
2005-06-23,1.64,2.07,1093.7,0.24324,0.24324,0.24324,0.24324
2005-06-24,1.65,2.07,1101.88,0.26786,0.26786,0.25,0.25
2005-06-27,1.7,2.13,1124.64,0.35398,0.35398,0.36283,0.36283
2005-06-28,1.66,2.06,1108.59,0.28947,0.28947,0.22807,0.22807
2005-06-29,1.66,2.06,1104.99,0.29565,0.29565,0.23478,0.23478
2005-06-30,1.62,2.0,1080.94,0.15517,0.15517,0.06034,0.06034
2005-07-01,1.55,1.94,1055.59,0.00855,0.00855,0.00855,0.00855
2005-07-04,1.53,1.91,1047.28,0.00847,0.00847,0.00847,0.00847
2005-07-05,1.52,1.91,1039.04,0.0084,0.0084,0.01681,0.01681
2005-07-06,1.52,1.9,1033.55,0.01667,0.01667,0.00833,0.00833
2005-07-07,1.52,1.91,1038.6,0.02479,0.02479,0.03306,0.03306
2005-07-08,1.47,1.84,1017.98,0.0082,0.0082,0.0082,0.0082
2005-07-11,1.44,1.82,1011.5,0.00813,0.00813,0.00813,0.00813
2005-07-12,1.49,1.88,1046.16,0.02419,0.02419,0.02419,0.02419
2005-07-13,1.48,1.86,1037.39,0.024,0.024,0.024,0.024
2005-07-14,1.48,1.86,1040.42,0.03175,0.03175,0.03175,0.03175
2005-07-15,1.44,1.82,1026.12,0.01575,0.01575,0.01575,0.01575
2005-07-18,1.39,1.78,1012.1,0.00781,0.00781,0.00781,0.00781
2005-07-19,1.4,1.78,1014.36,0.0155,0.0155,0.0155,0.0155
2005-07-20,1.41,1.79,1021.05,0.02308,0.02308,0.02308,0.02308
2005-07-21,1.4,1.78,1020.63,0.0229,0.0229,0.0229,0.0229
2005-07-22,1.42,1.82,1046.32,0.03788,0.03788,0.05303,0.05303
2005-07-25,1.42,1.81,1045.4,0.04511,0.04511,0.03759,0.03759
2005-07-26,1.45,1.85,1072.81,0.06716,0.06716,0.07463,0.07463
2005-07-27,1.49,1.89,1089.91,0.1037,0.1037,0.1037,0.1037
2005-07-28,1.48,1.89,1086.55,0.09559,0.09559,0.11029,0.11029
2005-07-29,1.48,1.87,1083.03,0.10219,0.10219,0.09489,0.09489
2005-08-01,1.49,1.89,1088.95,0.12319,0.12319,0.12319,0.12319
2005-08-02,1.53,1.92,1104.04,0.15827,0.15827,0.15827,0.15827
2005-08-03,1.54,1.94,1107.7,0.16429,0.16429,0.17143,0.17143
2005-08-04,1.53,1.93,1102.59,0.16312,0.16312,0.16312,0.16312
2005-08-05,1.58,1.98,1128.74,0.22535,0.22535,0.21127,0.21127
2005-08-08,1.6,1.99,1138.88,0.25175,0.25175,0.23077,0.23077
2005-08-09,1.63,2.03,1152.53,0.35417,0.35417,0.27083,0.27083
2005-08-10,1.66,2.06,1165.03,0.44138,0.44138,0.3931,0.3931
2005-08-11,1.68,2.09,1183.58,0.4726,0.4726,0.46575,0.46575
2005-08-12,1.64,2.06,1167.92,0.38776,0.38776,0.39456,0.39456
2005-08-15,1.68,2.1,1187.01,0.47973,0.47973,0.47973,0.47973
2005-08-16,1.69,2.11,1177.28,0.48322,0.48322,0.48322,0.48322
2005-08-17,1.73,2.15,1192.83,0.53333,0.53333,0.52667,0.52667
2005-08-18,1.65,2.07,1148.04,0.40397,0.40397,0.4106,0.4106
2005-08-19,1.64,2.06,1150.18,0.38158,0.38158,0.38816,0.38816
2005-08-22,1.67,2.08,1158.6,0.46405,0.46405,0.43137,0.43137
2005-08-23,1.63,2.05,1149.96,0.33766,0.33766,0.33117,0.33117
2005-08-24,1.66,2.08,1167.14,0.44516,0.44516,0.43871,0.43871
2005-08-25,1.69,2.12,1172.48,0.5,0.5,0.51923,0.51923
2005-08-26,1.7,2.14,1171.86,0.52866,0.52866,0.5414,0.5414
2005-08-29,1.67,2.11,1154.43,0.46835,0.46835,0.49367,0.49367
2005-08-30,1.66,2.08,1146.39,0.44025,0.44025,0.43396,0.43396
2005-08-31,1.7,2.11,1162.8,0.5375,0.5375,0.5,0.5
2005-09-01,1.75,2.16,1184.93,0.57143,0.57143,0.56522,0.56522
2005-09-02,1.76,2.19,1188.85,0.57407,0.57407,0.58025,0.58025
2005-09-05,1.78,2.22,1196.22,0.57669,0.57669,0.60123,0.60123
2005-09-06,1.74,2.17,1173.32,0.56098,0.56098,0.56707,0.56707
2005-09-07,1.79,2.23,1194.31,0.59394,0.59394,0.61212,0.61212
2005-09-08,1.79,2.23,1194.41,0.59639,0.59639,0.61446,0.61446
2005-09-09,1.77,2.21,1189.63,0.56886,0.56886,0.58683,0.58683
2005-09-12,1.77,2.22,1188.21,0.57143,0.57143,0.60119,0.60119
2005-09-13,1.8,2.27,1207.16,0.60947,0.60947,0.66272,0.66272
2005-09-14,1.83,2.29,1217.26,0.62941,0.62941,0.68824,0.68824
2005-09-15,1.84,2.3,1217.28,0.63743,0.63743,0.7076,0.7076
2005-09-16,1.84,2.3,1212.95,0.63953,0.63953,0.7093,0.7093
2005-09-19,1.86,2.33,1220.63,0.65896,0.65896,0.7341,0.7341
2005-09-20,1.85,2.33,1212.62,0.64368,0.64368,0.73563,0.73563
2005-09-21,1.82,2.28,1187.99,0.60571,0.60571,0.65714,0.65714
2005-09-22,1.76,2.21,1159.96,0.53977,0.53977,0.5625,0.5625
2005-09-23,1.74,2.17,1151.98,0.52542,0.52542,0.53107,0.53107
2005-09-26,1.76,2.18,1155.04,0.54494,0.54494,0.53371,0.53371
2005-09-27,1.72,2.14,1133.24,0.49721,0.49721,0.49721,0.49721
2005-09-28,1.71,2.13,1131.77,0.49444,0.49444,0.48333,0.48333
2005-09-29,1.75,2.18,1155.49,0.53591,0.53591,0.54144,0.54144
2005-09-30,1.73,2.15,1155.61,0.51099,0.51099,0.50549,0.50549
2005-10-10,1.7,2.12,1138.95,0.47541,0.47541,0.46448,0.46448
2005-10-11,1.74,2.16,1157.19,0.53261,0.53261,0.52174,0.52174
2005-10-12,1.76,2.18,1161.85,0.56216,0.56216,0.55135,0.55135
2005-10-13,1.76,2.18,1152.61,0.56452,0.56452,0.55376,0.55376
2005-10-14,1.73,2.16,1139.55,0.50802,0.50802,0.51872,0.51872
2005-10-17,1.72,2.16,1131.38,0.48936,0.48936,0.52128,0.52128
2005-10-18,1.75,2.2,1141.2,0.54497,0.54497,0.57672,0.57672
2005-10-19,1.73,2.18,1134.61,0.51053,0.51053,0.55789,0.55789
2005-10-20,1.73,2.18,1135.95,0.51309,0.51309,0.56021,0.56021
2005-10-21,1.75,2.2,1141.32,0.55208,0.55208,0.58333,0.58333
2005-10-24,1.73,2.19,1141.17,0.51295,0.51295,0.56995,0.56995
2005-10-25,1.69,2.13,1121.92,0.41753,0.41753,0.45876,0.45876
2005-10-26,1.63,2.06,1097.16,0.27179,0.27179,0.31282,0.31282
2005-10-27,1.61,2.05,1097.78,0.21939,0.21939,0.26531,0.26531
2005-10-28,1.55,1.99,1080.87,0.13198,0.13198,0.17259,0.17259
2005-10-31,1.58,2.02,1092.82,0.17172,0.17172,0.19697,0.19697
2005-11-01,1.56,2.01,1089.95,0.14573,0.14573,0.19598,0.19598
2005-11-02,1.6,2.05,1104.79,0.2,0.2,0.28,0.28
2005-11-03,1.58,2.03,1095.27,0.1791,0.1791,0.21393,0.21393
2005-11-04,1.6,2.03,1100.05,0.20792,0.20792,0.21782,0.21782
2005-11-07,1.61,2.07,1100.65,0.24631,0.24631,0.35961,0.35961
2005-11-08,1.64,2.08,1110.15,0.33824,0.33824,0.38725,0.38725
2005-11-09,1.64,2.07,1108.15,0.34146,0.34146,0.36098,0.36098
2005-11-10,1.58,2.01,1088.3,0.17961,0.17961,0.19417,0.19417
2005-11-11,1.61,2.01,1090.2,0.25121,0.25121,0.19807,0.19807
2005-11-14,1.6,2.02,1088.65,0.21154,0.21154,0.20673,0.20673
2005-11-15,1.59,2.01,1087.51,0.1866,0.1866,0.20096,0.20096
2005-11-16,1.61,2.02,1095.89,0.2619,0.2619,0.21429,0.21429
2005-11-17,1.6,2.02,1095.31,0.21801,0.21801,0.21801,0.21801
2005-11-18,1.64,2.06,1117.0,0.36321,0.36321,0.35377,0.35377
2005-11-21,1.65,2.07,1119.94,0.38498,0.38498,0.38498,0.38498
2005-11-22,1.61,2.06,1098.66,0.26636,0.26636,0.35514,0.35514
2005-11-23,1.62,2.08,1105.75,0.28372,0.28372,0.4186,0.4186
2005-11-24,1.64,2.09,1113.37,0.37037,0.37037,0.44907,0.44907
2005-11-25,1.64,2.09,1114.92,0.37327,0.37327,0.45161,0.45161
2005-11-28,1.63,2.08,1110.82,0.3211,0.3211,0.41743,0.41743
2005-11-29,1.61,2.04,1096.99,0.26484,0.26484,0.27397,0.27397
2005-11-30,1.6,2.05,1099.26,0.21364,0.21364,0.3,0.3
2005-12-01,1.6,2.04,1098.75,0.21719,0.21719,0.27602,0.27602
2005-12-02,1.57,1.99,1094.29,0.13964,0.13964,0.15766,0.15766
2005-12-05,1.52,1.94,1079.2,0.09417,0.09417,0.11659,0.11659
2005-12-06,1.53,1.94,1087.79,0.11161,0.11161,0.12054,0.12054
2005-12-07,1.54,1.97,1099.62,0.12,0.12,0.13778,0.13778
2005-12-08,1.55,1.96,1098.32,0.13274,0.13274,0.13274,0.13274
2005-12-09,1.58,2.0,1113.48,0.18943,0.18943,0.18062,0.18062
2005-12-12,1.59,2.0,1116.37,0.20175,0.20175,0.18421,0.18421
2005-12-13,1.59,2.01,1117.85,0.20524,0.20524,0.21834,0.21834
2005-12-14,1.61,2.03,1125.39,0.3,0.3,0.25652,0.25652
2005-12-15,1.6,2.01,1123.56,0.24675,0.24675,0.22078,0.22078
2005-12-16,1.61,2.03,1127.51,0.30603,0.30603,0.26293,0.26293
2005-12-19,1.59,2.01,1131.75,0.20601,0.20601,0.22318,0.22318
2005-12-20,1.6,2.01,1136.34,0.25214,0.25214,0.2265,0.2265
2005-12-21,1.57,1.99,1130.76,0.15319,0.15319,0.17021,0.17021
2005-12-22,1.58,2.0,1135.24,0.19068,0.19068,0.18644,0.18644
2005-12-23,1.61,2.04,1144.87,0.32068,0.32068,0.32489,0.32489
2005-12-26,1.62,2.07,1156.82,0.34034,0.34034,0.43277,0.43277
2005-12-27,1.61,2.06,1154.29,0.32218,0.32218,0.40167,0.40167
2005-12-28,1.61,2.04,1157.03,0.325,0.325,0.325,0.325
2005-12-29,1.64,2.1,1169.86,0.43568,0.43568,0.51452,0.51452
2005-12-30,1.62,2.06,1161.06,0.34711,0.34711,0.40496,0.40496
2006-01-04,1.65,2.08,1180.96,0.46091,0.46091,0.47325,0.47325
2006-01-05,1.67,2.12,1197.27,0.5123,0.5123,0.55328,0.55328
2006-01-06,1.69,2.15,1209.42,0.53878,0.53878,0.59184,0.59184
2006-01-09,1.7,2.16,1215.67,0.56911,0.56911,0.61382,0.61382
2006-01-10,1.71,2.17,1220.62,0.583,0.583,0.62753,0.62753
2006-01-11,1.69,2.15,1211.05,0.53629,0.53629,0.58871,0.58871
2006-01-12,1.72,2.17,1226.7,0.59438,0.59438,0.63052,0.63052
2006-01-13,1.73,2.18,1221.46,0.624,0.624,0.656,0.656
2006-01-16,1.69,2.14,1202.87,0.53386,0.53386,0.56972,0.56972
2006-01-17,1.7,2.16,1208.44,0.56746,0.56746,0.61111,0.61111
2006-01-18,1.73,2.21,1233.35,0.62846,0.62846,0.69565,0.69565
2006-01-19,1.74,2.22,1251.58,0.64567,0.64567,0.70866,0.70866
2006-01-20,1.74,2.21,1255.31,0.64706,0.64706,0.69412,0.69412
2006-01-23,1.75,2.22,1255.77,0.66406,0.66406,0.71094,0.71094
2006-01-24,1.75,2.22,1252.06,0.66537,0.66537,0.71206,0.71206
2006-01-25,1.73,2.21,1258.05,0.62016,0.62016,0.68992,0.68992
2006-02-06,1.78,2.27,1287.63,0.69884,0.69884,0.75676,0.75676
2006-02-07,1.77,2.26,1282.1,0.69231,0.69231,0.74231,0.74231
2006-02-08,1.78,2.28,1290.06,0.70115,0.70115,0.77011,0.77011
2006-02-09,1.74,2.23,1269.45,0.6374,0.6374,0.71756,0.71756
2006-02-10,1.76,2.29,1282.66,0.68061,0.68061,0.78327,0.78327
2006-02-13,1.76,2.25,1279.64,0.68182,0.68182,0.72727,0.72727
2006-02-14,1.77,2.27,1286.33,0.69434,0.69434,0.75472,0.75472
2006-02-15,1.78,2.27,1299.17,0.70677,0.70677,0.75564,0.75564
2006-02-16,1.71,2.2,1270.63,0.55431,0.55431,0.64794,0.64794
2006-02-17,1.69,2.16,1267.41,0.50373,0.50373,0.57836,0.57836
2006-02-20,1.7,2.18,1267.54,0.53903,0.53903,0.62454,0.62454
2006-02-21,1.73,2.21,1288.42,0.60741,0.60741,0.67407,0.67407
2006-02-22,1.74,2.22,1284.23,0.63469,0.63469,0.69742,0.69742
2006-02-23,1.74,2.22,1288.85,0.63603,0.63603,0.69853,0.69853
2006-02-24,1.75,2.23,1296.87,0.65934,0.65934,0.71429,0.71429
2006-02-27,1.73,2.22,1297.19,0.60219,0.60219,0.69708,0.69708
2006-02-28,1.73,2.21,1299.03,0.60364,0.60364,0.66545,0.66545
2006-03-01,1.75,2.23,1306.59,0.66304,0.66304,0.71739,0.71739
2006-03-02,1.7,2.17,1285.67,0.52708,0.52708,0.58123,0.58123
2006-03-03,1.7,2.18,1293.3,0.52878,0.52878,0.61151,0.61151
2006-03-06,1.68,2.15,1288.96,0.46237,0.46237,0.53047,0.53047
2006-03-07,1.63,2.09,1259.92,0.33571,0.33571,0.44286,0.44286
2006-03-08,1.62,2.08,1250.38,0.30249,0.30249,0.41281,0.41281
2006-03-09,1.61,2.08,1245.17,0.28014,0.28014,0.41489,0.41489
2006-03-10,1.62,2.08,1245.65,0.30742,0.30742,0.41696,0.41696
2006-03-13,1.62,2.09,1259.67,0.30986,0.30986,0.4507,0.4507
2006-03-14,1.62,2.1,1259.04,0.31228,0.31228,0.46316,0.46316
2006-03-15,1.63,2.12,1274.81,0.34965,0.34965,0.4965,0.4965
2006-03-16,1.64,2.12,1274.19,0.39721,0.39721,0.49826,0.49826
2006-03-17,1.64,2.12,1269.46,0.39931,0.39931,0.5,0.5
2006-03-20,1.65,2.19,1288.42,0.42215,0.42215,0.63668,0.63668
2006-03-21,1.67,2.2,1290.4,0.46897,0.46897,0.65172,0.65172
2006-03-22,1.68,2.22,1296.71,0.48454,0.48454,0.71134,0.71134
2006-03-23,1.71,2.24,1302.46,0.56849,0.56849,0.7363,0.7363
2006-03-24,1.69,2.22,1294.7,0.50853,0.50853,0.7099,0.7099
2006-03-27,1.71,2.24,1295.92,0.57143,0.57143,0.7381,0.7381
2006-03-28,1.73,2.28,1298.79,0.62712,0.62712,0.79322,0.79322
2006-03-29,1.73,2.25,1305.57,0.62838,0.62838,0.74662,0.74662
2006-03-30,1.69,2.23,1294.72,0.50505,0.50505,0.72391,0.72391
2006-03-31,1.69,2.23,1298.3,0.50671,0.50671,0.72483,0.72483
2006-04-03,1.73,2.27,1319.47,0.63211,0.63211,0.77926,0.77926
2006-04-04,1.75,2.3,1329.8,0.69,0.69,0.82667,0.82667
2006-04-05,1.77,2.33,1340.16,0.72757,0.72757,0.84718,0.84718
2006-04-06,1.76,2.32,1339.74,0.71192,0.71192,0.83113,0.83113
2006-04-07,1.75,2.29,1342.97,0.68647,0.68647,0.80198,0.80198
2006-04-10,1.79,2.32,1359.08,0.75658,0.75658,0.83224,0.83224
2006-04-11,1.79,2.33,1362.23,0.75738,0.75738,0.84918,0.84918
2006-04-12,1.78,2.35,1360.13,0.73856,0.73856,0.85621,0.85621
2006-04-13,1.73,2.27,1332.33,0.61889,0.61889,0.76221,0.76221
2006-04-14,1.76,2.33,1359.54,0.70779,0.70779,0.8474,0.8474
2006-04-17,1.75,2.29,1378.61,0.67961,0.67961,0.79288,0.79288
2006-04-18,1.74,2.29,1385.11,0.64516,0.64516,0.79355,0.79355
2006-04-19,1.75,2.3,1396.7,0.68167,0.68167,0.8135,0.8135
2006-04-20,1.72,2.26,1385.9,0.55769,0.55769,0.72756,0.72756
2006-04-21,1.73,2.24,1416.79,0.61342,0.61342,0.70288,0.70288
2006-04-24,1.71,2.23,1409.79,0.54459,0.54459,0.69108,0.69108
2006-04-25,1.7,2.25,1399.77,0.52063,0.52063,0.71746,0.71746
2006-04-26,1.73,2.28,1417.48,0.61709,0.61709,0.77215,0.77215
2006-04-27,1.75,2.23,1416.73,0.6877,0.6877,0.6877,0.6877
2006-04-28,1.76,2.23,1440.22,0.71698,0.71698,0.68868,0.68868
2006-05-08,1.81,2.35,1497.1,0.77743,0.77743,0.86207,0.86207
2006-05-09,1.88,2.47,1531.16,0.83438,0.83438,0.92813,0.92813
2006-05-10,1.92,2.52,1545.69,0.8567,0.8567,0.97819,0.97819
2006-05-11,1.9,2.51,1537.38,0.84472,0.84472,0.97516,0.97516
2006-05-12,1.98,2.59,1602.83,0.87616,0.87616,1.0,1.0
2006-05-15,2.07,2.74,1664.09,0.95679,0.95679,1.0,1.0
2006-05-16,1.99,2.64,1613.25,0.88,0.88,0.99692,0.99692
2006-05-17,2.04,2.68,1625.15,0.91718,0.91718,0.99693,0.99693
2006-05-18,2.07,2.72,1617.28,0.95719,0.95719,0.99694,0.99694
2006-05-19,2.14,2.79,1659.55,1.0,1.0,1.0,1.0
2006-05-22,2.19,2.84,1657.69,1.0,1.0,1.0,1.0
2006-05-23,2.08,2.72,1604.55,0.96061,0.96061,0.99091,0.99091
2006-05-24,2.03,2.66,1590.92,0.89124,0.89124,0.98187,0.98187
2006-05-25,2.05,2.67,1591.43,0.91566,0.91566,0.98193,0.98193
2006-05-26,2.11,2.78,1613.89,0.98799,0.98799,0.99399,0.99399
2006-05-29,2.17,2.84,1648.54,0.99701,0.99701,1.0,1.0
2006-05-30,2.2,2.92,1657.29,1.0,1.0,1.0,1.0
2006-05-31,2.2,2.85,1641.3,1.0,1.0,0.99702,0.99702
2006-06-01,2.32,3.0,1684.2,1.0,1.0,1.0,1.0
2006-06-02,2.28,2.99,1669.4,0.99704,0.99704,0.99704,0.99704
2006-06-05,2.33,3.04,1684.62,1.0,1.0,1.0,1.0
2006-06-06,2.32,3.03,1679.13,0.99706,0.99706,0.99706,0.99706
2006-06-07,2.16,2.82,1589.55,0.97654,0.97654,0.97654,0.97654
2006-06-08,2.16,2.8,1591.49,0.97661,0.97661,0.97368,0.97368
2006-06-09,2.07,2.72,1551.38,0.92128,0.92128,0.9621,0.9621
2006-06-12,2.09,2.7,1552.8,0.94767,0.94767,0.95349,0.95349
2006-06-13,2.07,2.73,1548.5,0.91884,0.91884,0.96232,0.96232
2006-06-14,2.07,2.71,1531.33,0.91908,0.91908,0.95087,0.95087
2006-06-15,2.08,2.73,1533.98,0.93084,0.93084,0.96254,0.96254
2006-06-16,2.12,2.78,1574.47,0.96839,0.96839,0.96839,0.96839
